"table_schema","table_name","column_name"
"vc","vpx_compute_resource","das_host_monitoring"
"vc","vpx_compute_resource","das_vm_monitoring"
"vc","vpx_compute_resource","cluster_state"
"vc","vpx_compute_resource","cluster_config_version"
"vc","vpx_compute_resource","trusted_cluster_state"
"vc","vpx_compute_resource","das_vm_metadata_version"
"vc","vpx_compute_resource","das_hostlist_version"
"vc","vpx_compute_resource","das_fault_domain_id"
"vc","vpx_compute_resource","das_vm_comp_protecting"
"vc","vpx_compute_resource","vmcp_apd_terminate"
"vc","vpx_compute_resource","vmcp_apd_terminate_delay"
"vc","vpx_compute_resource","vmcp_apd_reset"
"vc","vpx_compute_resource","vmcp_pdl_terminate"
"vc","vpx_compute_resource","allow_sys_update_hb_ds"
"vc","vpx_compute_resource","groups_info"
"vc","vpx_compute_resource","num_required_agent_vms"
"vc","vpx_compute_resource","slot_policy"
"vc","vpx_compute_resource","default_hw_version"
"vc","vpx_compute_resource","vsan_enabled"
"vc","vpx_compute_resource","vsan_auto_claim_storage"
"vc","vpx_compute_resource","vsan_uuid"
"vc","vpx_compute_resource","vsan_checksum_enabled"
"vc","vpx_compute_resource","das_restart_priority_timeout"
"vc","vpx_compute_resource","orc_ready_condition"
"vc","vpx_compute_resource","orc_post_ready_delay"
"vc","vpx_compute_resource","failover_resource_reduction"
"vc","vpx_compute_resource","failover_resource_auto_compute"
"vc","vpx_compute_resource","proactive_drs_enabled"
"vc","vpx_compute_resource","crypto_mode"
"vc","vpx_compute_resource","lifecycle_managed"
"vc","vpx_compute_resource","evc_graphics_mode"
"vc","vpx_compute_resource","edrs_maintenance_mode_status"
"vc","vpx_compute_resource","evc_partial"
"vc","vpx_compute_resource","maximum_hw_version"
"vc","vpx_compute_resource","pmem_admission_ctrl_enabled"
"vc","vpx_compute_resource","failover_pmem_resources"
"vc","vpx_compute_resource","failover_pmem_resource_auto_compute"
"vc","vpx_compute_resource","config_manager_enabled"
"vc","vpx_compute_resource","das_preemptive_pair_info"
"vc","vpx_compute_resource","vsan_max_enabled"
"vc","vpx_compute_resource","force_cluster_store_sync"
"vc","vpx_compute_resource_das_vm","comp_res_id"
"vc","vpx_compute_resource_das_vm","vm_id"
"vc","vpx_compute_resource_das_vm","priority"
"vc","vpx_compute_resource_das_vm","num_failure"
"vc","vpx_compute_resource_das_vm","retry_period_sec"
"vc","vpx_compute_resource_das_vm","power_off_on_isolation"
